sales_id,order_id,product_id,product_type,product_name,size,color,price_per_unit,quantity,total_price,order_date
0,1,218,Shirt,Chambray,L,orange,106,2,212,2021-08-30
1,1,481,Jacket,Puffer,S,indigo,118,1,118,2021-08-30
2,1,2,Shirt,Oxford Cloth,M,red,96,3,288,2021-08-30
3,1,1002,Trousers,Wool,M,blue,106,2,212,2021-08-30
4,1,691,Jacket,Parka,S,indigo,113,3,339,2021-08-30
5,1,981,Trousers,Wool,S,red,106,3,318,2021-08-30
6,2,915,Trousers,Drawstring,XS,orange,96,1,96,2021-02-03
7,2,686,Jacket,Parka,S,blue,113,1,113,2021-02-03
8,2,1091,Trousers,Cropped,S,orange,115,3,345,2021-02-03
9,2,1196,Trousers,Pleated,S,orange,105,1,105,2021-02-03
10,2,157,Shirt,Linen,M,green,91,3,273,2021-02-03
11,2,1174,Trousers,High-Waisted,XL,green,99,2,198,2021-02-03
12,3,54,Shirt,Dress,XL,green,104,1,104,2021-10-08
13,3,6,Shirt,Oxford Cloth,S,orange,96,2,192,2021-10-08
14,3,1010,Trousers,Wool,XS,violet,106,2,212,2021-10-08
15,4,1033,Trousers,Relaxed Leg,L,green,90,1,90,2021-05-06
16,4,1184,Trousers,High-Waisted,XL,indigo,99,3,297,2021-05-06
17,4,769,Jacket,Peacoat,XL,violet,109,1,109,2021-05-06
18,4,923,Trousers,Drawstring,L,yellow,96,3,288,2021-05-06
19,4,12,Shirt,Oxford Cloth,M,yellow,96,2,192,2021-05-06
20,5,148,Shirt,Linen,L,orange,91,2,182,2021-03-23
21,5,475,Jacket,Puffer,XS,blue,118,2,236,2021-03-23
22,5,1,Shirt,Oxford Cloth,S,red,96,3,288,2021-03-23
23,5,830,Jacket,Shearling,XS,indigo,117,3,351,2021-03-23
24,5,1209,Trousers,Pleated,XL,green,105,3,315,2021-03-23
25,5,635,Jacket,Coach,XS,orange,93,3,279,2021-03-23
26,5,639,Jacket,Coach,XL,orange,93,3,279,2021-03-23
27,5,695,Jacket,Parka,XS,violet,113,1,113,2021-03-23
28,6,38,Shirt,Dress,L,red,104,2,208,2021-09-09
29,6,473,Jacket,Puffer,L,green,118,2,236,2021-09-09
30,6,242,Shirt,Chambray,M,violet,106,1,106,2021-09-09
31,6,804,Jacket,Pullover,XL,violet,91,2,182,2021-09-09
32,7,850,Trousers,Chinos,XS,yellow,113,2,226,2021-04-05
33,7,1162,Trousers,High-Waisted,M,orange,99,3,297,2021-04-05
34,8,765,Jacket,Peacoat,XS,violet,109,1,109,2021-04-12
35,8,256,Shirt,Polo,S,yellow,95,2,190,2021-04-12
36,9,203,Shirt,Camp Collared,L,indigo,98,1,98,2021-05-01
37,9,486,Jacket,Puffer,S,violet,118,2,236,2021-05-01
